 ******* Program HYDRUS
 ******* 
 Welcome to HYDRUS-1D                                                    
 Date:  26. 3.2026    Time:   3: 9:11
 Units: L = cm   , T = days , M = micro

       Time          rTop        rRoot        vTop         vRoot        vBot       sum(rTop)   sum(rRoot)    sum(vTop)   sum(vRoot)    sum(vBot)      hTop         hRoot        hBot        RunOff    sum(RunOff)     Volume     sum(Infil)    sum(Evap) TLevel Cum(WTrans)  SnowLayer
        [T]         [L/T]        [L/T]        [L/T]        [L/T]        [L/T]         [L]          [L]          [L]         [L]           [L]         [L]           [L]         [L]          [L/T]         [L]          [L]          [L]          [L]

     540.0000 -0.31646E+00  0.31056E+00 -0.31646E+00  0.30345E+00 -0.13011E-01 -0.17089E+03  0.16770E+03 -0.17089E+03  0.16387E+03 -0.58905E+01 -0.75279E+02 -0.48031E+02  0.00000E+00  0.00000E+00  0.00000E+00  0.43673E+02  0.23485E+03  0.63957E+02    551  0.00000E+00      0.000
     550.0000 -0.31646E+00  0.31056E+00 -0.31646E+00  0.30345E+00 -0.13011E-01 -0.17405E+03  0.17081E+03 -0.17405E+03  0.16691E+03 -0.60207E+01 -0.75279E+02 -0.48031E+02  0.00000E+00  0.00000E+00  0.00000E+00  0.43673E+02  0.23920E+03  0.65141E+02    561  0.00000E+00      0.000
     560.0000 -0.31646E+00  0.31056E+00 -0.31646E+00  0.30345E+00 -0.13011E-01 -0.17722E+03  0.17391E+03 -0.17722E+03  0.16994E+03 -0.61508E+01 -0.75279E+02 -0.48031E+02  0.00000E+00  0.00000E+00  0.00000E+00  0.43673E+02  0.24355E+03  0.66326E+02    571  0.00000E+00      0.000
     570.0000 -0.31646E+00  0.31056E+00 -0.31646E+00  0.30345E+00 -0.13011E-01 -0.18038E+03  0.17702E+03 -0.18038E+03  0.17298E+03 -0.62809E+01 -0.75279E+02 -0.48031E+02  0.00000E+00  0.00000E+00  0.00000E+00  0.43673E+02  0.24789E+03  0.67510E+02    581  0.00000E+00      0.000
     580.0000 -0.31646E+00  0.31056E+00 -0.31646E+00  0.30345E+00 -0.13011E-01 -0.18355E+03  0.18013E+03 -0.18355E+03  0.17601E+03 -0.64110E+01 -0.75279E+02 -0.48031E+02  0.00000E+00  0.00000E+00  0.00000E+00  0.43673E+02  0.25224E+03  0.68694E+02    591  0.00000E+00      0.000
     590.0000 -0.31646E+00  0.31056E+00 -0.31646E+00  0.30345E+00 -0.13011E-01 -0.18671E+03  0.18323E+03 -0.18671E+03  0.17905E+03 -0.65411E+01 -0.75279E+02 -0.48031E+02  0.00000E+00  0.00000E+00  0.00000E+00  0.43673E+02  0.25659E+03  0.69879E+02    601  0.00000E+00      0.000
     600.0000 -0.31646E+00  0.31056E+00 -0.31646E+00  0.30345E+00 -0.13011E-01 -0.18988E+03  0.18634E+03 -0.18988E+03  0.18208E+03 -0.66712E+01 -0.75279E+02 -0.48031E+02  0.00000E+00  0.00000E+00  0.00000E+00  0.43673E+02  0.26094E+03  0.71063E+02    611  0.00000E+00      0.000
     610.0000 -0.31646E+00  0.31056E+00 -0.31646E+00  0.30345E+00 -0.13011E-01 -0.19304E+03  0.18944E+03 -0.19304E+03  0.18511E+03 -0.68013E+01 -0.75279E+02 -0.48031E+02  0.00000E+00  0.00000E+00  0.00000E+00  0.43673E+02  0.26529E+03  0.72248E+02    621  0.00000E+00      0.000
     620.0000 -0.31646E+00  0.31056E+00 -0.31646E+00  0.30345E+00 -0.13011E-01 -0.19621E+03  0.19255E+03 -0.19621E+03  0.18815E+03 -0.69315E+01 -0.75279E+02 -0.48031E+02  0.00000E+00  0.00000E+00  0.00000E+00  0.43673E+02  0.26964E+03  0.73432E+02    631  0.00000E+00      0.000
     630.0000 -0.31646E+00  0.31056E+00 -0.31646E+00  0.30345E+00 -0.13011E-01 -0.19937E+03  0.19565E+03 -0.19937E+03  0.19118E+03 -0.70616E+01 -0.75279E+02 -0.48031E+02  0.00000E+00  0.00000E+00  0.00000E+00  0.43673E+02  0.27399E+03  0.74616E+02    641  0.00000E+00      0.000
     640.0000 -0.31646E+00  0.31056E+00 -0.31646E+00  0.30345E+00 -0.13011E-01 -0.20254E+03  0.19876E+03 -0.20254E+03  0.19422E+03 -0.71917E+01 -0.75279E+02 -0.48031E+02  0.00000E+00  0.00000E+00  0.00000E+00  0.43673E+02  0.27834E+03  0.75801E+02    651  0.00000E+00      0.000
     650.0000 -0.31646E+00  0.31056E+00 -0.31646E+00  0.30345E+00 -0.13012E-01 -0.20570E+03  0.20187E+03 -0.20570E+03  0.19725E+03 -0.73218E+01 -0.75279E+02 -0.48031E+02  0.00000E+00  0.00000E+00  0.00000E+00  0.43673E+02  0.28269E+03  0.76985E+02    661  0.00000E+00      0.000
     660.0000 -0.31646E+00  0.31056E+00 -0.31646E+00  0.30345E+00 -0.13012E-01 -0.20887E+03  0.20497E+03 -0.20887E+03  0.20029E+03 -0.74519E+01 -0.75279E+02 -0.48031E+02  0.00000E+00  0.00000E+00  0.00000E+00  0.43673E+02  0.28704E+03  0.78170E+02    671  0.00000E+00      0.000
     670.0000 -0.31646E+00  0.31056E+00 -0.31646E+00  0.30345E+00 -0.13013E-01 -0.21203E+03  0.20808E+03 -0.21203E+03  0.20332E+03 -0.75821E+01 -0.75279E+02 -0.48031E+02  0.00000E+00  0.00000E+00  0.00000E+00  0.43673E+02  0.29138E+03  0.79354E+02    681  0.00000E+00      0.000
     680.0000 -0.31646E+00  0.31056E+00 -0.31646E+00  0.30345E+00 -0.13013E-01 -0.21519E+03  0.21118E+03 -0.21519E+03  0.20636E+03 -0.77122E+01 -0.75279E+02 -0.48031E+02  0.00000E+00  0.00000E+00  0.00000E+00  0.43673E+02  0.29573E+03  0.80538E+02    691  0.00000E+00      0.000
     690.0000 -0.31646E+00  0.31056E+00 -0.31646E+00  0.30345E+00 -0.13013E-01 -0.21836E+03  0.21429E+03 -0.21836E+03  0.20939E+03 -0.78423E+01 -0.75279E+02 -0.48031E+02  0.00000E+00  0.00000E+00  0.00000E+00  0.43673E+02  0.30008E+03  0.81723E+02    701  0.00000E+00      0.000
