 ******* Program HYDRUS
 ******* 
 Welcome to HYDRUS-1D                                                    
 Date:  26. 3.2026    Time:   3: 9:11
 Units: L = cm   , T = days , M = micro


 Time:        0.0000


 Node      Depth      Head Moisture       K          C         Flux        Sink         Kappa   v/KsTop   Temp   Conc(1..NS) Sorb(1...NS)
           [L]        [L]    [-]        [L/T]      [1/L]      [L/T]        [1/T]         [-]      [-]      [C]      [M/L*3]

  35   -40.8000     -62.574 0.3506   0.1746E+00  0.8682E-03 -0.1412E+00  0.3416E-02      -1  -0.135E-01    0.00  0.1612E-19  0.0000E+00
  36   -42.0000     -62.327 0.3508   0.1757E+00  0.8699E-03 -0.1371E+00  0.3364E-02      -1  -0.131E-01    0.00  0.3767E-19  0.0000E+00
  37   -43.2000     -62.047 0.3510   0.1769E+00  0.8719E-03 -0.1331E+00  0.3313E-02      -1  -0.127E-01    0.00  0.8836E-19  0.0000E+00
  38   -44.4000     -61.733 0.3513   0.1783E+00  0.8741E-03 -0.1292E+00  0.3261E-02      -1  -0.124E-01    0.00  0.2081E-18  0.0000E+00
  39   -45.6000     -61.385 0.3516   0.1798E+00  0.8766E-03 -0.1253E+00  0.3209E-02      -1  -0.120E-01    0.00  0.4919E-18  0.0000E+00
  40   -46.8000     -61.005 0.3519   0.1815E+00  0.8793E-03 -0.1215E+00  0.3157E-02      -1  -0.116E-01    0.00  0.1167E-17  0.0000E+00
  41   -48.0000     -60.591 0.3522   0.1833E+00  0.8823E-03 -0.1177E+00  0.3106E-02      -1  -0.113E-01    0.00  0.2780E-17  0.0000E+00
  42   -49.2000     -60.145 0.3526   0.1853E+00  0.8854E-03 -0.1140E+00  0.3054E-02      -1  -0.109E-01    0.00  0.6646E-17  0.0000E+00
  43   -50.4000     -59.666 0.3530   0.1884E+00  0.8890E-03 -0.1104E+00  0.3002E-02      -1  -0.106E-01    0.00  0.1595E-16  0.0000E+00
  44   -51.6000     -59.150 0.3535   0.1924E+00  0.8929E-03 -0.1068E+00  0.2950E-02      -1  -0.102E-01    0.00  0.3839E-16  0.0000E+00
  45   -52.8000     -58.598 0.3540   0.1968E+00  0.8971E-03 -0.1033E+00  0.2899E-02      -1  -0.989E-02    0.00  0.9277E-16  0.0000E+00
  46   -54.0000     -58.010 0.3546   0.2014E+00  0.9016E-03 -0.9984E-01  0.2847E-02      -1  -0.956E-02    0.00  0.2249E-15  0.0000E+00
  47   -55.2000     -57.387 0.3552   0.2063E+00  0.9064E-03 -0.9646E-01  0.2795E-02      -1  -0.924E-02    0.00  0.5471E-15  0.0000E+00
  48   -56.4000     -56.732 0.3558   0.2115E+00  0.9114E-03 -0.9314E-01  0.2743E-02      -1  -0.892E-02    0.00  0.1335E-14  0.0000E+00
  49   -57.6000     -56.045 0.3564   0.2169E+00  0.9166E-03 -0.8988E-01  0.2692E-02      -1  -0.861E-02    0.00  0.3268E-14  0.0000E+00
  50   -58.8000     -55.327 0.3571   0.2225E+00  0.9221E-03 -0.8668E-01  0.2640E-02      -1  -0.830E-02    0.00  0.8024E-14  0.0000E+00
  51   -60.0000     -54.579 0.3578   0.2284E+00  0.9278E-03 -0.8354E-01  0.2588E-02      -1  -0.800E-02    0.00  0.1975E-13  0.0000E+00
  52   -61.2000     -53.805 0.3585   0.2345E+00  0.9338E-03 -0.8047E-01  0.2536E-02      -1  -0.771E-02    0.00  0.4876E-13  0.0000E+00
  53   -62.4000     -53.003 0.3593   0.2408E+00  0.9399E-03 -0.7745E-01  0.2484E-02      -1  -0.742E-02    0.00  0.1207E-12  0.0000E+00
  54   -63.6000     -52.177 0.3600   0.2473E+00  0.9462E-03 -0.7450E-01  0.2433E-02      -1  -0.714E-02    0.00  0.2993E-12  0.0000E+00
